Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.53     0.00     8941     0.00     0.00  std::list<iObject*, std::allocator<iObject*> >::size() const
  0.00      1.53     0.00     8941     0.00     0.00  std::list<iObject*, std::allocator<iObject*> >::begin() const
  0.00      1.53     0.00     8941     0.00     0.00  std::iterator_traits<std::_List_const_iterator<iObject*> >::iterator_category std::__iterator_category<std::_List_const_iterator<iObject*> >(std::_List_const_iterator<iObject*> const&)
  0.00      1.53     0.00     8941     0.00     0.00  std::iterator_traits<std::_List_const_iterator<iObject*> >::difference_type std::distance<std::_List_const_iterator<iObject*> >(std::_List_const_iterator<iObject*>, std::_List_const_iterator<iObject*>)
  0.00      1.53     0.00     6979     0.00     0.00  _floodfill(std::vector<std::vector<cPlayNode*, std::allocator<cPlayNode*> >, std::allocator<std::vector<cPlayNode*, std::allocator<cPlayNode*> > > >&, int, int, int)
  0.00      1.53     0.00     5059     0.00     0.00  _rand()
  0.00      1.53     0.00     5057     0.00     0.00  random_int(unsigned int, unsigned int)
  0.00      1.53     0.00     3415     0.00     0.00  operator new(unsigned int, void*)
  0.00      1.53     0.00     2748     0.00     0.00  __gnu_cxx::new_allocator<iObject*>::new_allocator()
  0.00      1.53     0.00     2748     0.00     0.00  std::allocator<iObject*>::~allocator()
  0.00      1.53     0.00     2747     0.00     0.00  __gnu_cxx::new_allocator<iObject*>::~new_allocator()
  0.00      1.53     0.00     2746     0.00     0.00  std::_List_base<iObject*, std::allocator<iObject*> >::_M_get_Node_allocator() const
  0.00      1.53     0.00     2746     0.00     0.00  std::allocator<iObject*>::allocator<std::_List_node<iObject*> >(std::allocator<std::_List_node<iObject*> > const&)
  0.00      1.53     0.00     2745     0.00     0.00  std::_List_base<iObject*, std::allocator<iObject*> >::_M_get_Tp_allocator() const
  0.00      1.53     0.00     2637     0.00     0.00  __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >::__normal_iterator(cPlayNode** const&)
  0.00      1.53     0.00     2574     0.00     0.00  __gnu_cxx::__normal_iterator<cMenuItem**, std::vector<cMenuItem*, std::allocator<cMenuItem*> > >::__normal_iterator(cMenuItem** const&)
  0.00      1.53     0.00     2570     0.00     0.00  __gnu_cxx::__normal_iterator<cMenuItem**, std::vector<cMenuItem*, std::allocator<cMenuItem*> > >::base() const
  0.00      1.53     0.00     2448     0.00     0.00  std::_List_iterator<iObject*>::operator++()
  0.00      1.53     0.00     2410     0.00     0.00  cPlayNode::light(unsigned int)
  0.00      1.53     0.00     2294     0.00     0.00  __gnu_cxx::new_allocator<cPickup*>::new_allocator()
  0.00      1.53     0.00     2294     0.00     0.00  __gnu_cxx::new_allocator<cPickup*>::~new_allocator()
  0.00      1.53     0.00     2294     0.00     0.00  std::allocator<cPickup*>::~allocator()
  0.00      1.53     0.00     2292     0.00     0.00  std::_List_base<cPickup*, std::allocator<cPickup*> >::_M_get_Tp_allocator() const
  0.00      1.53     0.00     2292     0.00     0.00  std::_List_base<cPickup*, std::allocator<cPickup*> >::_M_get_Node_allocator() const
  0.00      1.53     0.00     2291     0.00     0.00  std::allocator<cPickup*>::allocator<std::_List_node<cPickup*> >(std::allocator<std::_List_node<cPickup*> > const&)
  0.00      1.53     0.00     2243     0.00     0.00  __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >::base() const
  0.00      1.53     0.00     1876     0.00     0.00  cTPPickup::draw()
  0.00      1.53     0.00     1853     0.00     0.00  iObject::iObject()
  0.00      1.53     0.00     1851     0.00     0.00  cPickup::cPickup()
  0.00      1.53     0.00     1846     0.00     0.00  cTPPickup::update()
  0.00      1.53     0.00     1382     0.00     0.00  __gnu_cxx::new_allocator<cPickup*>::construct(cPickup**, cPickup* const&)
  0.00      1.53     0.00     1382     0.00     0.00  __gnu_cxx::new_allocator<iObject*>::construct(iObject**, iObject* const&)
  0.00      1.53     0.00     1382     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<iObject*> >::allocate(unsigned int, void const*)
  0.00      1.53     0.00     1382     0.00     0.00  cPlayMode::add(iObject*)
  0.00      1.53     0.00     1382     0.00     0.00  cPlayMode::addpickup(cPickup*)
  0.00      1.53     0.00     1382     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<iObject*> >::max_size() const
  0.00      1.53     0.00     1382     0.00     0.00  std::_List_base<cPickup*, std::allocator<cPickup*> >::_M_get_node()
  0.00      1.53     0.00     1382     0.00     0.00  std::_List_base<iObject*, std::allocator<iObject*> >::_M_get_node()
  0.00      1.53     0.00     1382     0.00     0.00  std::list<cPickup*, std::allocator<cPickup*> >::_M_create_node(cPickup* const&)
  0.00      1.53     0.00     1382     0.00     0.00  std::list<cPickup*, std::allocator<cPickup*> >::push_back(cPickup* const&)
  0.00      1.53     0.00     1382     0.00     0.00  std::list<iObject*, std::allocator<iObject*> >::_M_create_node(iObject* const&)
  0.00      1.53     0.00     1382     0.00     0.00  std::list<iObject*, std::allocator<iObject*> >::_M_insert(std::_List_iterator<iObject*>, iObject* const&)
  0.00      1.53     0.00     1382     0.00     0.00  std::list<iObject*, std::allocator<iObject*> >::push_back(iObject* const&)
  0.00      1.53     0.00     1381     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<cPickup*> >::allocate(unsigned int, void const*)
  0.00      1.53     0.00     1381     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<cPickup*> >::max_size() const
  0.00      1.53     0.00     1381     0.00     0.00  std::list<cPickup*, std::allocator<cPickup*> >::_M_insert(std::_List_iterator<cPickup*>, cPickup* const&)
  0.00      1.53     0.00     1379     0.00     0.00  cPickup::~cPickup()
  0.00      1.53     0.00     1379     0.00     0.00  iObject::~iObject()
  0.00      1.53     0.00     1379     0.00     0.00  std::iterator_traits<std::_List_iterator<iObject*> >::iterator_category std::__iterator_category<std::_List_iterator<iObject*> >(std::_List_iterator<iObject*> const&)
  0.00      1.53     0.00     1379     0.00     0.00  std::_List_iterator<iObject*> std::find<std::_List_iterator<iObject*>, cPickup*>(std::_List_iterator<iObject*>, std::_List_iterator<iObject*>, cPickup* const&)
  0.00      1.53     0.00     1379     0.00     0.00  std::_List_iterator<iObject*> std::__find<std::_List_iterator<iObject*>, cPickup*>(std::_List_iterator<iObject*>, std::_List_iterator<iObject*>, cPickup* const&, std::input_iterator_tag)
  0.00      1.53     0.00     1364     0.00     0.00  __gnu_cxx::new_allocator<iObject*>::destroy(iObject**)
  0.00      1.53     0.00     1364     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<iObject*> >::deallocate(std::_List_node<iObject*>*, unsigned int)
  0.00      1.53     0.00     1364     0.00     0.00  std::_List_base<iObject*, std::allocator<iObject*> >::_M_put_node(std::_List_node<iObject*>*)
  0.00      1.53     0.00     1364     0.00     0.00  std::list<iObject*, std::allocator<iObject*> >::erase(std::_List_iterator<iObject*>)
  0.00      1.53     0.00     1364     0.00     0.00  std::list<iObject*, std::allocator<iObject*> >::_M_erase(std::_List_iterator<iObject*>)
  0.00      1.53     0.00     1286     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<cPlayNode*, std::allocator<cPlayNode*> >*, std::vector<std::vector<cPlayNode*, std::allocator<cPlayNode*> >, std::allocator<std::vector<cPlayNode*, std::allocator<cPlayNode*> > > > >::operator*() const
  0.00      1.53     0.00     1285     0.00     0.00  std::vector<cMenuItem*, std::allocator<cMenuItem*> >::end()
  0.00      1.53     0.00     1281     0.00     0.00  bool __gnu_cxx::operator!=<cMenuItem**, std::vector<cMenuItem*, std::allocator<cMenuItem*> > >(__gnu_cxx::__normal_iterator<cMenuItem**, std::vector<cMenuItem*, std::allocator<cMenuItem*> > > const&, __gnu_cxx::__normal_iterator<cMenuItem**, std::vector<cMenuItem*, std::allocator<cMenuItem*> > > const&)
  0.00      1.53     0.00     1120     0.00     0.00  __gnu_cxx::__normal_iterator<cMenuItem**, std::vector<cMenuItem*, std::allocator<cMenuItem*> > >::operator*() const
  0.00      1.53     0.00     1098     0.00     0.00  __gnu_cxx::__normal_iterator<cMenuItem**, std::vector<cMenuItem*, std::allocator<cMenuItem*> > >::operator++(int)
  0.00      1.53     0.00      999     0.00     0.00  cDownPickup::cDownPickup(int, int)
  0.00      1.53     0.00      981     0.00     0.00  cDownPickup::~cDownPickup()
  0.00      1.53     0.00      924     0.00     0.00  cPlayTable::getheight(int)
  0.00      1.53     0.00      911     0.00     0.00  std::vector<cPlayNode*, std::allocator<cPlayNode*> >::end()
  0.00      1.53     0.00      910     0.00     0.00  __gnu_cxx::new_allocator<cPickup*>::destroy(cPickup**)
  0.00      1.53     0.00      910     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<cPickup*> >::deallocate(std::_List_node<cPickup*>*, unsigned int)
  0.00      1.53     0.00      910     0.00     0.00  cMenuItem::draw()
  0.00      1.53     0.00      910     0.00     0.00  std::_List_base<cPickup*, std::allocator<cPickup*> >::_M_put_node(std::_List_node<cPickup*>*)
  0.00      1.53     0.00      910     0.00     0.00  std::list<cPickup*, std::allocator<cPickup*> >::erase(std::_List_iterator<cPickup*>)
  0.00      1.53     0.00      910     0.00     0.00  std::list<cPickup*, std::allocator<cPickup*> >::_M_erase(std::_List_iterator<cPickup*>)
  0.00      1.53     0.00      856     0.00     0.00  __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >::operator+(int const&) const
  0.00      1.53     0.00      554     0.00     0.00  cPlayNode** std::__copy<true, std::random_access_iterator_tag>::copy<cPlayNode*>(cPlayNode* const*, cPlayNode* const*, cPlayNode**)
  0.00      1.53     0.00      524     0.00     0.00  cPlayNode** std::__copy_aux<cPlayNode**, cPlayNode**>(cPlayNode**, cPlayNode**, cPlayNode**)
  0.00      1.53     0.00      512     0.00     0.00  __gnu_cxx::new_allocator<cPlayNode*>::construct(cPlayNode**, cPlayNode* const&)
  0.00      1.53     0.00      512     0.00     0.00  cPlayNode::cPlayNode(int)
  0.00      1.53     0.00      512     0.00     0.00  std::vector<cPlayNode*, std::allocator<cPlayNode*> >::push_back(cPlayNode* const&)
  0.00      1.53     0.00      469     0.00     0.00  cPlayTable::addpickup(int, int)
  0.00      1.53     0.00      469     0.00     0.00  cShip::bump()
  0.00      1.53     0.00      469     0.00     0.00  cTPPickup::cTPPickup(int, int, int, cPlayTable*)
  0.00      1.53     0.00      464     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<cPlayNode*, std::allocator<cPlayNode*> >*, std::vector<std::vector<cPlayNode*, std::allocator<cPlayNode*> >, std::allocator<std::vector<cPlayNode*, std::allocator<cPlayNode*> > > > >::__normal_iterator(std::vector<cPlayNode*, std::allocator<cPlayNode*> >* const&)
  0.00      1.53     0.00      435     0.00     0.00  std::vector<cPlayNode*, std::allocator<cPlayNode*> >::begin()
  0.00      1.53     0.00      435     0.00     0.00  std::vector<std::vector<cPlayNode*, std::allocator<cPlayNode*> >, std::allocator<std::vector<cPlayNode*, std::allocator<cPlayNode*> > > >::begin()
  0.00      1.53     0.00      431     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<cPlayNode*, std::allocator<cPlayNode*> >*, std::vector<std::vector<cPlayNode*, std::allocator<cPlayNode*> >, std::allocator<std::vector<cPlayNode*, std::allocator<cPlayNode*> > > > >::operator+=(int const&)
  0.00      1.53     0.00      428     0.00     0.00  cPlayTable::deletepickup(int, int)
  0.00      1.53     0.00      428     0.00     0.00  __gnu_cxx::new_allocator<cPlayNode*>::destroy(cPlayNode**)
  0.00      1.53     0.00      428     0.00     0.00  __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >::__normal_iterator()
  0.00      1.53     0.00      428     0.00     0.00  __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >::operator+=(int const&)
  0.00      1.53     0.00      428     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<cPlayNode*, std::allocator<cPlayNode*> >*, std::vector<std::vector<cPlayNode*, std::allocator<cPlayNode*> >, std::allocator<std::vector<cPlayNode*, std::allocator<cPlayNode*> > > > >::__normal_iterator()
  0.00      1.53     0.00      428     0.00     0.00  bool __gnu_cxx::operator!=<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >(__gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > > const&, __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > > const&)
  0.00      1.53     0.00      428     0.00     0.00  __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > > std::__copy_normal<true, true>::__copy_n<__gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >, __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > > >(__gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >, __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >, __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >)
  0.00      1.53     0.00      428     0.00     0.00  std::vector<cPlayNode*, std::allocator<cPlayNode*> >::erase(__gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >)
  0.00      1.53     0.00      428     0.00     0.00  __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > > std::copy<__gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >, __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > > >(__gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >, __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >, __gnu_cxx::__normal_iterator<cPlayNode**, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >)
  0.00      1.53     0.00      383     0.00     0.00  cScorePickup::cScorePickup(int, int, int)
  0.00      1.53     0.00      383     0.00     0.00  cScorePickup::~cScorePickup()
  0.00      1.53     0.00      290     0.00     0.00  cScore::add(long)
  0.00      1.53     0.00      290     0.00     0.00  cScore::operator+=(long)
  0.00      1.53     0.00      238     0.00     0.00  __gnu_cxx::new_allocator<cPlayNode*>::~new_allocator()
  0.00      1.53     0.00      235     0.00     0.00  __gnu_cxx::new_allocator<cPlayNode*>::new_allocator(__gnu_cxx::new_allocator<cPlayNode*> const&)
  0.00      1.53     0.00      212     0.00     0.00  std::allocator<cPlayNode*>::~allocator()
  0.00      1.53     0.00      200     0.00     0.00  std::allocator<cPlayNode*>::allocator(std::allocator<cPlayNode*> const&)
  0.00      1.53     0.00      200     0.00     0.00  std::_Vector_base<cPlayNode*, std::allocator<cPlayNode*> >::_M_get_Tp_allocator()
  0.00      1.53     0.00      184     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      1.53     0.00      184     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      1.53     0.00      184     0.00     0.00  std::allocator<int>::~allocator()
  0.00      1.53     0.00      184     0.00     0.00  std::vector<cMenuItem*, std::allocator<cMenuItem*> >::begin()
  0.00      1.53     0.00      182     0.00     0.00  cMenuSpacer::draw()
  0.00      1.53     0.00      182     0.00     0.00  cTitleMenuMode::draw()
  0.00      1.53     0.00      182     0.00     0.00  cMenuMode::handleevents()
  0.00      1.53     0.00      182     0.00     0.00  std::cos(float)
  0.00      1.53     0.00      172     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      1.53     0.00      172     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      1.53     0.00      124     0.00     0.00  void cTextPane::add<char const*>(char const* const&)
  0.00      1.53     0.00      124     0.00     0.00  cTextPane& operator<< <char const*>(cTextPane&, char const*)
  0.00      1.53     0.00      119     0.00     0.00  __gnu_cxx::new_allocator<cPlayNode*>::max_size() const
  0.00      1.53     0.00      109     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      1.53     0.00      109     0.00     0.00  int* std::__copy<true, std::random_access_iterator_tag>::copy<int>(int const*, int const*, int*)
  0.00      1.53     0.00      108     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.00      1.53     0.00      108     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      1.53     0.00      108     0.00     0.00  int* std::__copy_normal<false, false>::__copy_n<int*, int*>(int*, int*, int*)
  0.00      1.53     0.00      108     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      1.53     0.00      108     0.00     0.00  int* std::__copy_aux<int*, int*>(int*, int*, int*)
  0.00      1.53     0.00      108     0.00     0.00  int* std::uninitialized_copy<int*, int*>(int*, int*, int*)
  0.00      1.53     0.00      108     0.00     0.00  int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>)
  0.00      1.53     0.00      108     0.00     0.00  int* std::__uninitialized_copy_aux<int*, int*>(int*, int*, int*, std::__true_type)
  0.00      1.53     0.00      108     0.00     0.00  int* std::copy<int*, int*>(int*, int*, int*)
  0.00      1.53     0.00      100     0.00     0.00  cTexture::load_texture_from_surface(SDL_Surface*)
  0.00      1.53     0.00       96     0.00     0.00  cPlayNode** std::__copy_normal<false, false>::__copy_n<cPlayNode**, cPlayNode**>(cPlayNode**, cPlayNode**, cPlayNode**)
  0.00      1.53     0.00       96     0.00     0.00  cPlayNode** std::uninitialized_copy<cPlayNode**, cPlayNode**>(cPlayNode**, cPlayNode**, cPlayNode**)
  0.00      1.53     0.00       96     0.00     0.00  cPlayNode** std::__uninitialized_copy_a<cPlayNode**, cPlayNode**, cPlayNode*>(cPlayNode**, cPlayNode**, cPlayNode**, std::allocator<cPlayNode*>)
  0.00      1.53     0.00       96     0.00     0.00  cPlayNode** std::__uninitialized_copy_aux<cPlayNode**, cPlayNode**>(cPlayNode**, cPlayNode**, cPlayNode**, std::__true_type)
  0.00      1.53     0.00       96     0.00     0.00  cPlayNode** std::copy<cPlayNode**, cPlayNode**>(cPlayNode**, cPlayNode**, cPlayNode**)
  0.00      1.53     0.00       90     0.00     0.00  CreateRect(int, int, int, int)
  0.00      1.53     0.00       90     0.00     0.00  SubSurface(SDL_Surface*, int, int, int, int)
  0.00      1.53     0.00       87     0.00     0.00  std::vector<cPlayNode*, std::allocator<cPlayNode*> >::size() const
  0.00      1.53     0.00       74     0.00     0.00  std::_Vector_base<cPlayNode*, std::allocator<cPlayNode*> >::_M_deallocate(cPlayNode**, unsigned int)
  0.00      1.53     0.00       74     0.00     0.00  void std::__destroy_aux<cPlayNode**>(cPlayNode**, cPlayNode**, std::__true_type)
  0.00      1.53     0.00       74     0.00     0.00  void std::_Destroy<cPlayNode**>(cPlayNode**, cPlayNode**)
  0.00      1.53     0.00       74     0.00     0.00  void std::_Destroy<cPlayNode**, cPlayNode*>(cPlayNode**, cPlayNode**, std::allocator<cPlayNode*>)
  0.00      1.53     0.00       71     0.00     0.00  __gnu_cxx::new_allocator<cPlayNode*>::allocate(unsigned int, void const*)
  0.00      1.53     0.00       71     0.00     0.00  std::_Vector_base<cPlayNode*, std::allocator<cPlayNode*> >::_M_get_Tp_allocator() const
  0.00      1.53     0.00       71     0.00     0.00  std::_Vector_base<cPlayNode*, std::allocator<cPlayNode*> >::_M_allocate(unsigned int)
  0.00      1.53     0.00       65     0.00     0.00  void cTextPane::add<unsigned int>(unsigned int const&)
  0.00      1.53     0.00       65     0.00     0.00  cTextPane& operator<< <unsigned int>(cTextPane&, unsigned int)
  0.00      1.53     0.00       63     0.00     0.00  void std::__destroy_aux<int*>(int*, int*, std::__true_type)
  0.00      1.53     0.00       63     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      1.53     0.00       63     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>)
  0.00      1.53     0.00       62     0.00     0.00  __gnu_cxx::new_allocator<cPlayNode*>::deallocate(cPlayNode**, unsigned int)
  0.00      1.53     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<cPlayNode* const*, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >::__normal_iterator(cPlayNode* const* const&)
  0.00      1.53     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<cPlayNode* const*, std::vector<cPlayNode*, std::allocator<cPlayNode*> > >::base() const
  0.00      1.53     0.00       58     0.00     0.00  cScore::subtract(long)
  0.00      1.53     0.00       58     0.00     0.00  cScore::operator-=(long)
  0.00      1.53     0.00       57     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      1.53     0.00       56     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
